trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.7899999999999998}",20,0,-150.09950333661854,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",20,0,-37.73183836220857,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",25,19,-5.33330440625594,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",25,0,-85.81561430493174,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",20,12,-27.218463239724688,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",20,0,-85.44459301781012,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",1
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,0,-227.63832908216358,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 4}",0
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",20,0,-43.335774457428684,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-90.50524152516529,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",20,0,-125.0530356867296,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",25,7,-61.92398605064376,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",30,5,-44.06050459262515,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,0,-89.70638989996858,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",20,0,-43.641991074488296,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,0,-46.17660103122705,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",25,13,-68.77794871794426,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 1}",1
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",25,0,-97.06732327541472,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",25,0,-57.64910209169275,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,17,14.155610670522115,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",30,20,-6.408383605691115,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",30,0,-26.451078165304793,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",25,0,-68.8387942208418,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",20,0,-20.57466231066042,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",20,0,-62.402769135394635,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",30,18,3.7437431544374165,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",25,0,-53.399172943272234,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",30,20,4.039924233025445,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",20,1,-94.71636663762682,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 2}",1
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-58.162050151930984,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",20,0,-166.40999755079818,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",25,0,-14.211937965298432,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",30,17,-19.76530968059645,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",25,0,-51.07551833972222,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",30,8,-25.25061765746057,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,0,-23.20436623097642,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",25,0,-52.377190839174524,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",30,0,-126.11050138001866,"{0: 23, 1: 2, 2: 1, 3: 1, 4: 3}",0
